Customer_ID,Customer_Name,Age,City,Product,Order_Date,Sales,Profit,Quantity
1001,Customer_1,50.0,Mumbai,Phone,2026-01-01,18561.0,12317.0,6
1002,Customer_2,36.0,Hyderabad,Monitor,2026-01-08,41854.0,12421.0,7
1003,Customer_3,29.0,Bangalore,Monitor,2026-01-15,79505.0,11289.0,5
1004,Customer_4,,Pune,Laptop,2026-01-22,67251.0,17812.0,1
1005,Customer_5,40.0,Hyderabad,Headphones,2026-01-29,37662.0,12752.0,1
1006,Customer_6,44.0,Pune,Headphones,2026-02-05,,4193.0,3
1007,Customer_7,32.0,Bangalore,Phone,2026-02-12,45535.0,15431.0,6
1008,Customer_8,32.0,,Headphones,2026-02-19,67256.0,5127.0,2
1009,Customer_9,45.0,Hyderabad,Phone,2026-02-26,50222.0,17657.0,5
1010,Customer_10,57.0,Bangalore,Laptop,2026-03-05,78335.0,11673.0,4
1011,Customer_11,45.0,Mumbai,Monitor,2026-03-12,25965.0,11730.0,2
1012,Customer_12,,Bangalore,Monitor,2026-03-19,39538.0,17207.0,6
1013,Customer_13,43.0,Pune,Monitor,2026-03-26,85592.0,12994.0,7
1014,Customer_14,23.0,Pune,Headphones,2026-04-02,23110.0,2806.0,4
1015,Customer_15,45.0,Pune,Laptop,2026-04-09,42266.0,8276.0,7
1016,Customer_16,51.0,Pune,Headphones,2026-04-16,67992.0,10974.0,3
1017,Customer_17,59.0,Mumbai,Headphones,2026-04-23,21910.0,9026.0,3
1018,Customer_18,23.0,Chennai,Laptop,2026-04-30,15206.0,7030.0,1
1019,Customer_19,42.0,,Laptop,2026-05-07,38419.0,5248.0,7
1020,Customer_20,54.0,Pune,Laptop,2026-05-14,65636.0,15045.0,6
1021,Customer_21,33.0,Bangalore,Laptop,2026-05-21,65015.0,2163.0,5
1022,Customer_22,43.0,Pune,Monitor,2026-05-28,,3498.0,4
1023,Customer_23,46.0,Bangalore,Tablet,2026-06-04,33141.0,9494.0,2
1024,Customer_24,48.0,Bangalore,Tablet,2026-06-11,86910.0,4804.0,6
1025,Customer_25,,Pune,Laptop,2026-06-18,71044.0,15308.0,6
1026,Customer_26,37.0,Mumbai,Tablet,2026-06-25,82214.0,8085.0,3
1027,Customer_27,36.0,Bangalore,Tablet,2026-07-02,48827.0,13149.0,7
1028,Customer_28,24.0,Bangalore,Laptop,2026-07-09,70820.0,3136.0,1
1029,Customer_29,58.0,Pune,Tablet,2026-07-16,77623.0,6237.0,1
1030,Customer_30,28.0,Bangalore,Headphones,2026-07-23,37299.0,16055.0,4
1011,Customer_11,45.0,Mumbai,Monitor,2026-03-12,25965.0,11730.0,2
